,Data,Estacao,Poluente,Valor
112,03/01/2020,Perus,MP10,5.94
113,03/01/2020,Perus,O3,46.94
114,03/01/2020,Pinheiros,CO,343.11
115,03/01/2020,Pinheiros,MP10,8.04
116,03/01/2020,Pinheiros,MP2.5,3.3
117,03/01/2020,Pinheiros,NO2,22.62
118,03/01/2020,Pinheiros,O3,19.33
119,03/01/2020,Santana,MP2.5,4.21
120,03/01/2020,Santana,O3,25.17
121,03/01/2020,Santo Amaro,CO,330.9
122,03/01/2020,Santo Amaro,MP10,6.0
123,03/01/2020,Santo Amaro,O3,26.57
124,04/01/2020,Capão Redondo,MP10,8.29
125,04/01/2020,Capão Redondo,O3,33.91
126,04/01/2020,Cerqueira César,CO,314.63
127,04/01/2020,Cerqueira César,MP10,8.33
128,04/01/2020,Cerqueira César,NO2,10.48
129,04/01/2020,Cerqueira César,SO2,0.13
130,04/01/2020,Congonhas,CO,644.63
131,04/01/2020,Congonhas,MP10,14.54
132,04/01/2020,Congonhas,MP2.5,7.67
133,04/01/2020,Congonhas,NO2,42.42
134,04/01/2020,Congonhas,SO2,0.96
135,04/01/2020,Ibirapuera,MP2.5,5.75
136,04/01/2020,Interlagos,MP10,10.08
137,04/01/2020,Interlagos,NO2,10.7
138,04/01/2020,Interlagos,O3,39.78
139,04/01/2020,Itaim Paulista,MP10,18.27
140,04/01/2020,Itaim Paulista,MP2.5,10.27
141,04/01/2020,Itaim Paulista,NO2,21.29
142,04/01/2020,Itaim Paulista,O3,40.71
143,04/01/2020,Itaquera,O3,44.35
144,04/01/2020,Mooca,CO,389.89
145,04/01/2020,Mooca,MP2.5,5.5
146,04/01/2020,Mooca,O3,46.96
147,04/01/2020,Nossa Senhora do Ó,MP10,11.62
148,04/01/2020,Nossa Senhora do Ó,O3,28.54
149,04/01/2020,Parque Dom Pedro II,CO,202.74
150,04/01/2020,Parque Dom Pedro II,MP10,8.29
151,04/01/2020,Parque Dom Pedro II,MP2.5,7.12
152,04/01/2020,Parque Dom Pedro II,NO2,20.42
153,04/01/2020,Parque Dom Pedro II,O3,37.54
154,04/01/2020,Perus,MP10,7.67
155,04/01/2020,Perus,O3,50.71
156,04/01/2020,Pinheiros,CO,369.1
157,04/01/2020,Pinheiros,MP10,9.85
158,04/01/2020,Pinheiros,MP2.5,2.84
159,04/01/2020,Pinheiros,NO2,20.67
160,04/01/2020,Pinheiros,O3,27.83
161,04/01/2020,Santana,MP2.5,6.62
162,04/01/2020,Santana,O3,33.21
163,04/01/2020,Santo Amaro,CO,341.75
164,04/01/2020,Santo Amaro,MP10,8.54
165,04/01/2020,Santo Amaro,O3,32.96
166,05/01/2020,Capão Redondo,MP10,9.25
167,05/01/2020,Capão Redondo,O3,34.13
168,05/01/2020,Cerqueira César,CO,385.15
169,05/01/2020,Cerqueira César,MP10,12.04
170,05/01/2020,Cerqueira César,NO2,12.96
171,05/01/2020,Cerqueira César,SO2,0.78
172,05/01/2020,Congonhas,CO,608.23
173,05/01/2020,Congonhas,MP10,15.5
174,05/01/2020,Congonhas,MP2.5,8.92
175,05/01/2020,Congonhas,NO2,39.58
176,05/01/2020,Congonhas,SO2,0.96
177,05/01/2020,Ibirapuera,MP2.5,6.88
178,05/01/2020,Interlagos,MP10,12.25
179,05/01/2020,Interlagos,NO2,14.78
180,05/01/2020,Interlagos,O3,36.04
181,05/01/2020,Itaim Paulista,MP10,15.67
182,05/01/2020,Itaim Paulista,MP2.5,7.17
183,05/01/2020,Itaim Paulista,NO2,8.92
184,05/01/2020,Itaim Paulista,O3,58.5
185,05/01/2020,Itaquera,O3,37.57
186,05/01/2020,Mooca,CO,457.48
187,05/01/2020,Mooca,MP2.5,8.96
188,05/01/2020,Mooca,O3,43.75
189,05/01/2020,Nossa Senhora do Ó,MP10,13.5
190,05/01/2020,Nossa Senhora do Ó,O3,33.79
191,05/01/2020,Parque Dom Pedro II,CO,223.54
192,05/01/2020,Parque Dom Pedro II,MP10,11.38
193,05/01/2020,Parque Dom Pedro II,MP2.5,9.71
194,05/01/2020,Parque Dom Pedro II,NO2,18.54
195,05/01/2020,Parque Dom Pedro II,O3,38.83
196,05/01/2020,Perus,MP10,9.33
197,05/01/2020,Perus,O3,56.83
198,05/01/2020,Pinheiros,CO,421.09
199,05/01/2020,Pinheiros,MP2.5,6.81
200,05/01/2020,Pinheiros,NO2,19.71
201,05/01/2020,Pinheiros,O3,28.75
202,05/01/2020,Santana,MP2.5,9.96
203,05/01/2020,Santana,O3,35.25
204,05/01/2020,Santo Amaro,CO,374.3
205,05/01/2020,Santo Amaro,MP10,9.54
206,05/01/2020,Santo Amaro,O3,31.22
207,06/01/2020,Capão Redondo,MP10,11.08
208,06/01/2020,Capão Redondo,O3,36.57
209,06/01/2020,Cerqueira César,CO,634.68
210,06/01/2020,Cerqueira César,MP10,13.12
211,06/01/2020,Cerqueira César,NO2,34.26
212,06/01/2020,Cerqueira César,SO2,0.39
213,06/01/2020,Congonhas,CO,878.56
214,06/01/2020,Congonhas,MP10,14.83
215,06/01/2020,Congonhas,MP2.5,8.42
216,06/01/2020,Congonhas,NO2,49.71
217,06/01/2020,Congonhas,SO2,1.0
218,06/01/2020,Ibirapuera,MP2.5,9.17
219,06/01/2020,Ibirapuera,O3,52.5
220,06/01/2020,Interlagos,MP10,14.12
221,06/01/2020,Interlagos,NO2,23.83
222,06/01/2020,Interlagos,O3,45.26
223,06/01/2020,Interlagos,SO2,0.92
224,06/01/2020,Itaim Paulista,MP10,11.36
225,06/01/2020,Itaim Paulista,MP2.5,5.0
226,06/01/2020,Itaim Paulista,NO2,13.0
227,06/01/2020,Itaim Paulista,O3,41.62
228,06/01/2020,Itaquera,O3,26.0
229,06/01/2020,Mooca,CO,499.06
230,06/01/2020,Mooca,MP2.5,5.92
231,06/01/2020,Mooca,O3,43.0
232,06/01/2020,Nossa Senhora do Ó,MP10,14.25
233,06/01/2020,Nossa Senhora do Ó,O3,41.58
234,06/01/2020,Parque Dom Pedro II,CO,275.53
235,06/01/2020,Parque Dom Pedro II,MP10,15.17
236,06/01/2020,Parque Dom Pedro II,MP2.5,7.83
237,06/01/2020,Parque Dom Pedro II,NO2,32.46
238,06/01/2020,Parque Dom Pedro II,O3,36.54
239,06/01/2020,Perus,MP10,8.71
240,06/01/2020,Perus,MP2.5,6.83
241,06/01/2020,Perus,O3,62.21
242,06/01/2020,Pinheiros,CO,566.65
243,06/01/2020,Pinheiros,MP10,23.62
244,06/01/2020,Pinheiros,MP2.5,4.19
245,06/01/2020,Pinheiros,NO2,33.08
246,06/01/2020,Pinheiros,O3,25.54
247,06/01/2020,Santana,MP2.5,6.75
248,06/01/2020,Santana,O3,45.71
249,06/01/2020,Santo Amaro,CO,466.52
250,06/01/2020,Santo Amaro,MP10,14.83
251,06/01/2020,Santo Amaro,O3,27.74
252,07/01/2020,Capão Redondo,MP10,20.79
253,07/01/2020,Capão Redondo,O3,41.7
254,07/01/2020,Cerqueira César,CO,580.43
255,07/01/2020,Cerqueira César,MP10,17.67
256,07/01/2020,Cerqueira César,NO2,31.48
257,07/01/2020,Cerqueira César,SO2,0.39
258,07/01/2020,Congonhas,CO,711.9
259,07/01/2020,Congonhas,MP10,23.35
260,07/01/2020,Congonhas,MP2.5,12.29
261,07/01/2020,Congonhas,NO2,48.59
262,07/01/2020,Congonhas,SO2,1.18
263,07/01/2020,Ibirapuera,MP2.5,14.71
264,07/01/2020,Ibirapuera,NO2,20.04
265,07/01/2020,Ibirapuera,O3,43.96
266,07/01/2020,Interlagos,MP10,22.08
267,07/01/2020,Interlagos,NO2,26.68
268,07/01/2020,Interlagos,O3,53.04
269,07/01/2020,Interlagos,SO2,1.0
270,07/01/2020,Itaim Paulista,MP10,20.44
271,07/01/2020,Itaim Paulista,MP2.5,8.5
272,07/01/2020,Itaim Paulista,NO2,12.25
273,07/01/2020,Itaim Paulista,O3,69.06
274,07/01/2020,Itaquera,O3,15.0
275,07/01/2020,Mooca,CO,561.45
276,07/01/2020,Mooca,MP2.5,10.88
277,07/01/2020,Mooca,O3,53.25
278,07/01/2020,Nossa Senhora do Ó,MP10,21.08
279,07/01/2020,Nossa Senhora do Ó,O3,56.83
280,07/01/2020,Parque Dom Pedro II,CO,327.51
281,07/01/2020,Parque Dom Pedro II,MP10,20.71
282,07/01/2020,Parque Dom Pedro II,MP2.5,14.17
283,07/01/2020,Parque Dom Pedro II,NO2,34.71
284,07/01/2020,Parque Dom Pedro II,O3,45.08
285,07/01/2020,Perus,MP10,13.75
286,07/01/2020,Perus,MP2.5,9.25
287,07/01/2020,Perus,O3,69.42
288,07/01/2020,Pinheiros,CO,592.64
289,07/01/2020,Pinheiros,MP10,22.04
290,07/01/2020,Pinheiros,MP2.5,7.74
291,07/01/2020,Pinheiros,NO2,36.29
292,07/01/2020,Pinheiros,O3,28.46
293,07/01/2020,Santana,MP2.5,10.42
294,07/01/2020,Santana,O3,58.42
295,07/01/2020,Santo Amaro,CO,439.39
296,07/01/2020,Santo Amaro,MP10,21.46
297,07/01/2020,Santo Amaro,O3,39.35
298,08/01/2020,Capão Redondo,MP10,10.29
299,08/01/2020,Capão Redondo,O3,28.7
300,08/01/2020,Cerqueira César,CO,710.62
301,08/01/2020,Cerqueira César,MP10,14.12
302,08/01/2020,Cerqueira César,NO2,28.7
303,08/01/2020,Cerqueira César,SO2,0.17
304,08/01/2020,Ibirapuera,MP2.5,20.5
305,08/01/2020,Ibirapuera,NO2,24.12
306,08/01/2020,Ibirapuera,O3,31.21
307,08/01/2020,Interlagos,MP10,11.42
308,08/01/2020,Interlagos,NO2,25.26
309,08/01/2020,Interlagos,O3,34.09
310,08/01/2020,Itaim Paulista,MP10,12.62
311,08/01/2020,Itaim Paulista,MP2.5,5.92
312,08/01/2020,Itaim Paulista,NO2,18.25
313,08/01/2020,Itaim Paulista,O3,27.33
314,08/01/2020,Mooca,CO,603.04
315,08/01/2020,Mooca,MP2.5,7.88
316,08/01/2020,Mooca,O3,33.25
317,08/01/2020,Nossa Senhora do Ó,MP10,13.13
318,08/01/2020,Nossa Senhora do Ó,O3,33.48
319,08/01/2020,Parque Dom Pedro II,CO,353.5
320,08/01/2020,Parque Dom Pedro II,MP10,14.71
321,08/01/2020,Parque Dom Pedro II,MP2.5,11.54
322,08/01/2020,Parque Dom Pedro II,NO2,32.54
323,08/01/2020,Parque Dom Pedro II,O3,28.21
324,08/01/2020,Perus,MP10,9.33
325,08/01/2020,Perus,MP2.5,7.71
326,08/01/2020,Perus,O3,48.08
327,08/01/2020,Pinheiros,CO,644.63
328,08/01/2020,Pinheiros,MP10,15.54
329,08/01/2020,Pinheiros,MP2.5,6.11
330,08/01/2020,Pinheiros,NO2,33.17
331,08/01/2020,Pinheiros,O3,17.67
332,08/01/2020,Santana,MP2.5,7.46
333,08/01/2020,Santana,O3,35.0
334,08/01/2020,Santo Amaro,CO,591.28
335,08/01/2020,Santo Amaro,MP10,13.29
336,08/01/2020,Santo Amaro,O3,22.65
337,09/01/2020,Capão Redondo,MP10,11.83
338,09/01/2020,Capão Redondo,O3,27.87
339,09/01/2020,Cerqueira César,CO,705.2
340,09/01/2020,Cerqueira César,MP10,13.88
341,09/01/2020,Cerqueira César,NO2,28.17
342,09/01/2020,Cerqueira César,SO2,0.04
343,09/01/2020,Ibirapuera,MP2.5,7.75
344,09/01/2020,Ibirapuera,NO2,19.17
345,09/01/2020,Ibirapuera,O3,25.88
346,09/01/2020,Interlagos,MP10,15.79
347,09/01/2020,Interlagos,NO2,23.91
348,09/01/2020,Interlagos,O3,29.22
349,09/01/2020,Interlagos,SO2,0.47
350,09/01/2020,Itaim Paulista,MP10,22.56
351,09/01/2020,Itaim Paulista,MP2.5,9.69
352,09/01/2020,Itaim Paulista,NO2,22.94
353,09/01/2020,Itaim Paulista,O3,49.0
354,09/01/2020,Mooca,CO,686.21
355,09/01/2020,Mooca,MP2.5,9.88
356,09/01/2020,Mooca,O3,33.12
357,09/01/2020,Nossa Senhora do Ó,MP10,13.38
358,09/01/2020,Nossa Senhora do Ó,O3,34.75
359,09/01/2020,Parque Dom Pedro II,CO,369.1
360,09/01/2020,Parque Dom Pedro II,MP10,17.88
361,09/01/2020,Parque Dom Pedro II,MP2.5,13.42
362,09/01/2020,Parque Dom Pedro II,NO2,29.92
363,09/01/2020,Parque Dom Pedro II,O3,28.46
364,09/01/2020,Perus,MP10,9.0
365,09/01/2020,Perus,MP2.5,6.71
366,09/01/2020,Perus,O3,49.79
367,09/01/2020,Pinheiros,CO,669.8
368,09/01/2020,Pinheiros,MP10,26.36
369,09/01/2020,Pinheiros,MP2.5,7.27
370,09/01/2020,Pinheiros,NO2,36.21
371,09/01/2020,Pinheiros,O3,20.16
372,09/01/2020,Santana,MP2.5,7.92
373,09/01/2020,Santana,O3,35.04
374,09/01/2020,Santo Amaro,CO,683.5
375,09/01/2020,Santo Amaro,MP10,14.42
376,09/01/2020,Santo Amaro,O3,20.17
377,10/01/2020,Capão Redondo,MP10,18.71
378,10/01/2020,Capão Redondo,O3,31.04
379,10/01/2020,Cerqueira César,CO,764.87
380,10/01/2020,Cerqueira César,MP10,17.54
381,10/01/2020,Cerqueira César,NO2,35.39
382,10/01/2020,Cerqueira César,SO2,0.3
383,10/01/2020,Ibirapuera,MP2.5,7.3
384,10/01/2020,Ibirapuera,NO2,25.22
385,10/01/2020,Ibirapuera,O3,35.87
386,10/01/2020,Interlagos,MP10,23.5
387,10/01/2020,Interlagos,NO2,28.7
388,10/01/2020,Interlagos,O3,40.57
389,10/01/2020,Interlagos,SO2,1.0
390,10/01/2020,Itaim Paulista,MP10,26.92
391,10/01/2020,Itaim Paulista,MP2.5,14.0
392,10/01/2020,Itaim Paulista,NO2,27.87
393,10/01/2020,Itaim Paulista,O3,49.39
394,10/01/2020,Mooca,CO,717.41
395,10/01/2020,Mooca,MP2.5,10.38
396,10/01/2020,Mooca,O3,46.08
397,10/01/2020,Nossa Senhora do Ó,MP10,20.46
398,10/01/2020,Nossa Senhora do Ó,O3,43.71
399,10/01/2020,Parque Dom Pedro II,CO,426.28
400,10/01/2020,Parque Dom Pedro II,MP10,18.83
401,10/01/2020,Parque Dom Pedro II,MP2.5,17.33
402,10/01/2020,Parque Dom Pedro II,NO2,33.67
403,10/01/2020,Parque Dom Pedro II,O3,38.04
404,10/01/2020,Perus,MP10,11.88
405,10/01/2020,Perus,MP2.5,8.58
406,10/01/2020,Perus,O3,53.29
407,10/01/2020,Pinheiros,CO,759.45
408,10/01/2020,Pinheiros,MP10,22.71
409,10/01/2020,Pinheiros,MP2.5,8.79
410,10/01/2020,Pinheiros,NO2,42.12
411,10/01/2020,Pinheiros,O3,21.26
412,10/01/2020,Santana,MP2.5,10.04
413,10/01/2020,Santana,O3,50.08
414,10/01/2020,Santo Amaro,CO,786.57
415,10/01/2020,Santo Amaro,MP10,21.67
416,10/01/2020,Santo Amaro,O3,22.35
417,11/01/2020,Capão Redondo,MP10,22.3
418,11/01/2020,Capão Redondo,O3,29.05
419,11/01/2020,Cerqueira César,CO,461.09
420,11/01/2020,Cerqueira César,MP10,20.54
421,11/01/2020,Cerqueira César,NO2,23.91
422,11/01/2020,Cerqueira César,SO2,0.35
423,11/01/2020,Ibirapuera,MP2.5,9.58
424,11/01/2020,Ibirapuera,NO2,21.21
425,11/01/2020,Ibirapuera,O3,29.62
426,11/01/2020,Interlagos,MP10,42.88
427,11/01/2020,Interlagos,NO2,25.09
428,11/01/2020,Interlagos,O3,33.0
429,11/01/2020,Interlagos,SO2,0.9
430,11/01/2020,Itaim Paulista,MP10,25.42
431,11/01/2020,Itaim Paulista,MP2.5,12.92
432,11/01/2020,Itaim Paulista,NO2,19.17
433,11/01/2020,Itaim Paulista,O3,34.3
434,11/01/2020,Mooca,CO,634.23
435,11/01/2020,Mooca,MP2.5,11.58
436,11/01/2020,Mooca,O3,39.75
437,11/01/2020,Nossa Senhora do Ó,MP10,22.62
438,11/01/2020,Nossa Senhora do Ó,O3,37.75
439,11/01/2020,Parque Dom Pedro II,CO,353.5
440,11/01/2020,Parque Dom Pedro II,MP10,18.0
441,11/01/2020,Parque Dom Pedro II,MP2.5,13.17
442,11/01/2020,Parque Dom Pedro II,NO2,26.92
443,11/01/2020,Parque Dom Pedro II,O3,33.75
444,11/01/2020,Perus,MP10,19.46
445,11/01/2020,Perus,MP2.5,15.5
446,11/01/2020,Perus,O3,46.79
447,11/01/2020,Pinheiros,CO,733.0
448,11/01/2020,Pinheiros,MP10,25.25
449,11/01/2020,Pinheiros,MP2.5,9.64
450,11/01/2020,Pinheiros,NO2,30.5
451,11/01/2020,Pinheiros,O3,20.46
452,11/01/2020,Santana,MP2.5,11.08
453,11/01/2020,Santana,O3,45.12
454,11/01/2020,Santo Amaro,CO,697.56
455,11/01/2020,Santo Amaro,MP10,27.5
456,11/01/2020,Santo Amaro,O3,22.57
457,12/01/2020,Capão Redondo,MP10,11.42
458,12/01/2020,Capão Redondo,O3,31.18
459,12/01/2020,Cerqueira César,CO,355.58
460,12/01/2020,Cerqueira César,FMC,6.0
461,12/01/2020,Cerqueira César,MP10,14.05
462,12/01/2020,Cerqueira César,MP2.5,7.0
463,12/01/2020,Cerqueira César,NO2,10.41
464,12/01/2020,Cerqueira César,SO2,0.0
465,12/01/2020,Ibirapuera,FMC,3.0
466,12/01/2020,Ibirapuera,MP2.5,7.25
467,12/01/2020,Ibirapuera,NO2,5.0
468,12/01/2020,Ibirapuera,O3,30.04
469,12/01/2020,Interlagos,MP10,13.71
470,12/01/2020,Interlagos,NO2,7.74
471,12/01/2020,Interlagos,O3,31.87
472,12/01/2020,Itaim Paulista,MP10,22.08
473,12/01/2020,Itaim Paulista,MP2.5,10.71
474,12/01/2020,Itaim Paulista,NO2,15.7
475,12/01/2020,Itaim Paulista,O3,26.35
476,12/01/2020,Mooca,CO,603.04
477,12/01/2020,Mooca,MP2.5,10.12
478,12/01/2020,Mooca,O3,34.54
479,12/01/2020,Nossa Senhora do Ó,MP10,27.0
480,12/01/2020,Nossa Senhora do Ó,O3,18.0
481,12/01/2020,Parque Dom Pedro II,CO,363.45
482,12/01/2020,Parque Dom Pedro II,MP10,13.3
483,12/01/2020,Parque Dom Pedro II,MP2.5,12.09
484,12/01/2020,Parque Dom Pedro II,NO2,19.22
485,12/01/2020,Parque Dom Pedro II,O3,27.86
486,12/01/2020,Perus,MP10,13.62
487,12/01/2020,Perus,MP2.5,11.67
488,12/01/2020,Perus,O3,42.54
489,12/01/2020,Pinheiros,CO,540.65
490,12/01/2020,Pinheiros,FMC,5.0
491,12/01/2020,Pinheiros,MP10,15.04
492,12/01/2020,Pinheiros,MP2.5,7.26
493,12/01/2020,Pinheiros,NO2,19.17
494,12/01/2020,Pinheiros,O3,18.62
495,12/01/2020,Pinheiros,PTS,19.0
496,12/01/2020,Santana,MP2.5,9.91
